Title,Publish year,Time,Movie type,Rating,Vote count
186. Before Sunrise,1995,1h 41m,R,8.1,(347K)
187. Blade Runner,1982,1h 57m,R,8.1,(836K)
188. The Grand Budapest Hotel,2014,1h 39m,R,8.1,(903K)
189. Hacksaw Ridge,2016,2h 19m,R,8.1,(612K)
190. Gone Girl,2014,2h 29m,R,8.1,(1.1M)
191. Dead Poets Society,1989,2h 8m,PG,8.1,(563K)
192. Maharaja,2024,2h 21m,,8.5,(49K)
193. Memories of Murder,2003,2h 12m,Not Rated,8.1,(226K)
194. In the Name of the Father,1993,2h 13m,R,8.1,(190K)
195. The Gold Rush,1925,1h 35m,Approved,8.1,(120K)
"196. Monsters, Inc.",2001,1h 32m,G,8.1,(1M)
197. Wild Tales,2014,2h 2m,R,8.1,(221K)
198. The Deer Hunter,1978,3h 3m,R,8.1,(368K)
199. Ratatouille,2007,1h 51m,G,8.1,(851K)
200. The General,1926,1h 18m,Passed,8.1,(100K)
201. Sherlock Jr.,1924,45m,Passed,8.2,(59K)
202. Jaws,1975,2h 4m,PG,8.1,(676K)
203. How to Train Your Dragon,2010,1h 38m,PG,8.1,(817K)
204. On the Waterfront,1954,1h 48m,Approved,8.1,(168K)
205. Mary and Max,2009,1h 32m,Not Rated,8.1,(189K)
206. The Wages of Fear,1953,2h 11m,Not Rated,8.1,(68K)
207. Ford v Ferrari,2019,2h 32m,PG-13,8.1,(497K)
208. Wild Strawberries,1957,1h 32m,Not Rated,8.1,(117K)
209. Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1,(123K)
210. The Third Man,1949,1h 33m,Approved,8.1,(185K)
211. Logan,2017,2h 17m,R,8.1,(863K)
212. Rocky,1976,2h,PG,8.1,(641K)
213. Tokyo Story,1953,2h 16m,Not Rated,8.1,(70K)
214. The Big Lebowski,1998,1h 57m,R,8.1,(873K)
215. The Seventh Seal,1957,1h 36m,Not Rated,8.1,(202K)
216. Room,2015,1h 58m,R,8.1,(458K)
217. Spotlight,2015,2h 9m,R,8.1,(509K)
218. The Terminator,1984,1h 47m,R,8.1,(942K)
219. Hotel Rwanda,2004,2h 1m,PG-13,8.1,(377K)
220. Platoon,1986,2h,R,8.1,(446K)
221. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,(1.2M)
222. La haine,1995,1h 38m,Not Rated,8.1,(202K)
223. Before Sunset,2004,1h 20m,R,8.1,(294K)
224. Jai Bhim,2021,2h 44m,Approved,8.7,(221K)
225. The Passion of Joan of Arc,1928,1h 54m,Passed,8.1,(62K)
226. The Best Years of Our Lives,1946,2h 50m,Approved,8.1,(72K)
227. The Exorcist,1973,2h 2m,R,8.1,(465K)
228. Rush,2013,2h 3m,R,8.1,(522K)
229. The Incredibles,2004,1h 55m,PG,8.0,(828K)
230. The Wizard of Oz,1939,1h 42m,G,8.1,(435K)
231. Network,1976,2h 1m,R,8.1,(174K)
232. Stand by Me,1986,1h 29m,R,8.1,(451K)
233. Hachi: A Dog's Tale,2009,1h 33m,G,8.1,(318K)
234. The Sound of Music,1965,2h 52m,G,8.1,(266K)
235. My Father and My Son,2005,1h 52m,Not Rated,8.2,(94K)
236. The Handmaiden,2016,2h 25m,Not Rated,8.1,(179K)
237. To Be or Not to Be,1942,1h 39m,Approved,8.1,(44K)
238. Into the Wild,2007,2h 28m,R,8.1,(667K)
239. The Battle of Algiers,1966,2h 1m,Not Rated,8.1,(67K)
240. The Grapes of Wrath,1940,2h 9m,Approved,8.1,(102K)
241. Groundhog Day,1993,1h 41m,PG,8.0,(697K)
242. The Iron Giant,1999,1h 26m,PG,8.1,(234K)
243. Amores Perros,2000,2h 34m,R,8.0,(256K)
244. Rebecca,1940,2h 10m,Approved,8.1,(149K)
245. The Help,2011,2h 26m,PG-13,8.1,(501K)
246. Cool Hand Luke,1967,2h 7m,Approved,8.1,(191K)
247. It Happened One Night,1934,1h 45m,Approved,8.1,(114K)
248. Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2,(106K)
"249. Paris, Texas",1984,2h 25m,R,8.1,(125K)
250. Drishyam,2015,2h 43m,Not Rated,8.2,(98K)
